id;fechaActualizacion;nombre;email;telefono;web;direccion;codigo_postal;localidad;pais;latitud;longitud;categoria;subcategoria;imagen
105932;2025-01-07;Brach Madrid;booking@brachmadrid.com;+34 915 463 639;https://www.esmadrid.com/alojamientos/brach-madrid;Gran Vía, 20;28004;Madrid;Spain;40.4200581;-3.7000627;Hoteles;5 estrellas;https://estaticos.esmadrid.com/cdn/farfuture/88nc9tEiGVC2nAvqAQ2FWynsDLsDmfe73n7Mw1KUqU8/mtime:1734090596/sites/default/files/recursosturisticos/alojamientos/brach_madrid.png
105834;2025-01-07;El Autor Hotel Madrid, Autograph Collection;;+34 91-7360105;https://www.esmadrid.com/alojamientos/autor-hotel-madrid-autograph-collection;de Zorrilla 19,;28014;Madrid;Spain;40.4169768;-3.6963031;Hoteles;5 estrellas;https://estaticos.esmadrid.com/cdn/farfuture/H5wMFsoyG9-CoHna74xt9sOMBD8fiqq6S6qCmVuh8QM/mtime:1732531025/sites/default/files/recursosturisticos/alojamientos/el_autor_hotel_madrid_autograph_collection.jpg
105680;2024-11-14;"The Loft Hostel Madrid Lavapi&eacute;s";madridlavapies@thelofthostels.com;+ 34 900264222;https://www.esmadrid.com/alojamientos/loft-hostel-madrid-lavapies;de la Esperanza, 4,;28012;Madrid;Spain;40.4100651;-3.7005546;Albergues;;https://estaticos.esmadrid.com/cdn/farfuture/wre4t0MuxSer3IJmxQMiMNTa3u5V0n1JSIvgzkfWfVQ/mtime:1730377679/sites/default/files/recursosturisticos/alojamientos/the_loft_house.png
105300;2024-09-12;"INNSiDE by Meli&aacute; Madrid Valdebebas";Innside.valdebebas@melia.com;+34 91 335 82 48;https://www.esmadrid.com/alojamientos/innside-melia-madrid-valdebebas;de José Antonio Fernández Ordóñez, 55;28055;;Spain;40.4913941;-3.6082354;Hoteles;4 estrellas;https://estaticos.esmadrid.com/cdn/farfuture/UaFnl3CRnRD3iP1YcYegZCdhWMtD4dXdiz5NUzTdLv8/mtime:1725526103/sites/default/files/recursosturisticos/alojamientos/innside_madrid_valdebebas.jpg
105137;2024-09-19;Ibis Madrid Aeropuerto Barajas;H3753@accor.com;(+34) 91 301 09 99;https://www.esmadrid.com/alojamientos/ibis-madrid-aeropuerto-barajas-0;General, 49;28042;;Spain;40.4699429;-3.5806809;Hostales;2 estrellas;https://estaticos.esmadrid.com/cdn/farfuture/uHooBFoPyyDMZ6mlygQ-f6_B3tVo4Ye462HRBWPoZEo/mtime:1722245762/sites/default/files/recursosturisticos/alojamientos/ibis_barajas_2.jpg
104961;2024-07-29;Ibis Styles Madrid Centro Maravillas;h3318@accor.com;+34 911 08 58 00;https://www.esmadrid.com/alojamientos/ibis-styles-madrid-centro-maravillas; Manuela Malasaña ,6;28004;Madrid;Spain;40.428541;-3.7029288;Hoteles;2 estrellas;https://estaticos.esmadrid.com/cdn/farfuture/iaTGbcE0JSE0s4RMkXPXXdtwwVVGj7TDBqiB8LyED3k/mtime:1718956334/sites/default/files/recursosturisticos/alojamientos/ibis_style_centro_maravillas_4.png
104940;2024-09-17;"Casa de las Artes Meli&aacute; Collection";casadelasartes@melia.com;+34 913 30 05 00;https://www.esmadrid.com/alojamientos/casa-artes-melia-collection;de Atocha, 83;28012;Madrid;Spain;40.4119597;-3.6974657;Hoteles;4 estrellas;https://estaticos.esmadrid.com/cdn/farfuture/Jh5IPYx8FCAmyWXJXyDYrsmx7EejjOCajpA0MndE7Qo/mtime:1724921985/sites/default/files/recursosturisticos/alojamientos/casa_de_las_artes_1_0.png
104734;2024-07-29;Exe Convention Plaza Madrid;reservas@execonventionplazamadrid.com ;+34 911 86 49 89;https://www.esmadrid.com/alojamientos/exe-convention-plaza-madrid;Fuencarral a Alcobendas, Km 8, Fuencarral-El Pardo ;28050;Madrid;Spain;40.5146275;-3.6733518;Hoteles;4 estrellas;https://estaticos.esmadrid.com/cdn/farfuture/Q23mfSLlaYlcg053jjhSwMi77JKhOJaY8uHKuNsYU4U/mtime:1716449724/sites/default/files/recursosturisticos/alojamientos/exe_convention_plaza.png
104422;2024-04-22;Hotel Pinar Plaza;reservas@miradordechamartin.com;+34 910 78 66 99;https://www.esmadrid.com/alojamientos/hotel-pinar-plaza;Caleruega, 67;28033;Madrid;Spain;40.4824925;-3.6706515;Hoteles;4 estrellas;https://estaticos.esmadrid.com/cdn/farfuture/LK6iPdMdhedlilwrRH6In_9XG3-vdhjMNy1Pt6H_DX0/mtime:1712836088/sites/default/files/recursosturisticos/alojamientos/hotel_pinar_plaza.png
104063;2024-03-12;Sercotel Convention Plaza Madrid;reservas@sercotel.com;+34 911 86 49 89;https://www.esmadrid.com/alojamientos/sercotel-convention-plaza-madrid;Fuencarral a Alcobendas, Km 8;28050;Madrid;Spain;40.5146275;-3.6733518;Hoteles;4 estrellas;https://estaticos.esmadrid.com/cdn/farfuture/fdYeKjkR1Q2vtpm6b9Ac8BrkGwewGjZCqZYs1ZCxt9s/mtime:1708603841/sites/default/files/recursosturisticos/alojamientos/convention_plaza_madrid_-_9.jpg.png
